"","G","A","RepoUrl","Dataset","Cloned","LastCommitDate","Commits","Branches","Tags","Committers","CommitID","RootPOM","Compile","Test1","Tests","Test2"
"114","indeedeng","vowpal-wabbit-java","https://github.com/indeedeng/vowpal-wabbit-java.git","test","true","ThuJun2014:24:512019-0700",162,1,6,16,"0db83f8b251039a6bce0d2fcf7c40e339bf7453c","true","true","true",19,"true"
"115","ingenieux","beanstalker","https://github.com/ingenieux/beanstalker.git","test","true","SunSep2923:16:272019-0500",652,1,41,29,"6de4aa7c5710ae8d1e3546b1314e12321c2bc0b4","true","true","true",0,"true"
"116","ippontech","metrics-spark-receiver","https://github.com/ippontech/metrics-spark-receiver.git","test","true","MonDec2218:06:272014+0100",20,1,0,1,"e998960c2b23c5b3ee6f71e07ac2d118bb8f17eb","true","true","true",0,"true"
"117","ISAITB","template-messaging-service","https://github.com/ISAITB/template-messaging-service.git","test","true","ThuNov2114:04:122019+0100",16,1,8,2,"0d048c745700853640a2fc90f7939299a6327526","true","true","true",0,"true"
"118","ISAITB","template-validation-service","https://github.com/ISAITB/template-validation-service.git","test","true","WedDec1109:29:532019+0100",16,1,9,2,"8b6b8736a738bc9eeaf19097a7542b69858d9fa7","true","true","true",0,"true"
"119","IvoNet","javaee7-essentials-archetype","https://github.com/IvoNet/javaee7-essentials-archetype.git","test","true","TueFeb1908:51:532019+0100",16,1,3,3,"b873e67b77dd1e0056942bdca36143659d1c7832","true","true","true",0,"true"
"120","IvoNet","javaee8-essentials-archetype","https://github.com/IvoNet/javaee8-essentials-archetype.git","test","true","TueFeb1908:51:232019+0100",27,1,3,1,"58636f387190dc8d97be978a0253fafc2e319b53","true","true","true",0,"true"
"121","IvoNet","javaee8-payara-microprofile-archetype","https://github.com/IvoNet/javaee8-payara-microprofile-archetype.git","test","true","ThuAug2920:39:582019+0200",34,1,6,1,"169e3002e5e0b2978f360ac41196267893231515","true","true","true",0,"true"
"122","IxorTalk","ixortalk","https://github.com/IxorTalk/ixortalk.iot.client.git","test","true","SatMar3109:36:352018+0200",21,1,6,2,"e9a2185037dad7e70b946425e7ece35295962c41","true","true","true",0,"true"
"123","ixortalk","ixortalk-assetmgmt","https://github.com/ixortalk/ixortalk-assetmgmt.git","test","true","MonOct711:54:482019+0200",28,1,4,4,"9e95ebef78a751fb7fd4d81a9ffdbb902f04b1a7","true","true","false",NA,NA
"124","ixortalk","ixortalk-authorization-server","https://github.com/ixortalk/ixortalk-authorization-server.git","test","true","TueDec311:13:512019+0100",70,1,7,4,"7ffc08c37b728b6791ddd5bccca4484e027cb614","true","true","true",24,"true"
"125","ixortalk","ixortalk-authserver","https://github.com/ixortalk/ixortalk-authserver.git","test","true","FriDec612:12:002019+0100",139,1,23,6,"5c03209db45457a9de9aa3d905afff943d397619","true","true","true",76,"true"
"126","ixortalk","ixortalk-user-registration-api","https://github.com/ixortalk/ixortalk-user-registration-api.git","test","true","TueDec1015:44:172019+0100",44,1,8,3,"054f2f44131e00fc3c43c3af49639c0c39e42dea","true","true","true",18,"true"
"127","ixortalkadmin","ixortalk-mailing-service","https://github.com/ixortalkadmin/ixortalk-mailing-service.git","test","true","MonOct711:46:412019+0200",17,1,2,3,"5c7f045ae07f97fbfadb6265c55c647e2e8918c4","true","true","true",2,"true"
"128","ixortalkadmin","ixortalk-mongodb","https://github.com/ixortalkadmin/ixortalk-mongodb.git","test","true","MonJun416:58:432018+0200",9,1,1,2,"63becc24404f9b1b07ab0f787ee53a721d8052a9","true","true","true",0,"true"
"129","ixortalkadmin","ixortalk-prometheus","https://github.com/ixortalkadmin/ixortalk-prometheus.git","test","true","MonJun416:58:432018+0200",9,1,1,2,"0423ebfc860a3a85e44d08f21efffc7e94475604","true","true","true",0,"true"
"130","jamesdbloom","mockservice","https://github.com/jamesdbloom/mockservice.git","test","true","TueDec1013:03:092019+0000",2451,1,88,65,"3df1921ae97c58da767a45deb24c4e7c019e1756","true","true","true",0,"true"
"131","jaredpetersen","kafka-connect-arangodb","https://github.com/jaredpetersen/kafka-connect-arangodb.git","test","true","FriMar2900:32:432019-0600",42,1,4,3,"efff16360c80d3bc763312622eb817d00e6fb794","true","true","true",0,"true"
"132","jeqo","zipkin-storage-kafka","https://github.com/jeqo/zipkin-storage-kafka.git","test","true","SunDec818:35:402019+0900",231,1,24,7,"c84373ffb3bb37ccbbb48007a0418dd35bc8d3f5","true","true","false",NA,NA
"133","jetoile","hadoop-unit","https://github.com/jetoile/hadoop-unit.git","test","true","WedNov2715:53:442019+0100",386,1,24,7,"2013a2166f04cbc7e6d5fdaaaa9abcb1f74881ce","true","true","false",NA,NA
"134","jnidzwetzki","bboxdb","https://github.com/jnidzwetzki/bboxdb.git","test","true","TueDec1015:47:072019+0100",5770,1,48,7,"311eb2ac5bdb6d9fc31a6c16414c17ecae7bf158","true","true","false",NA,NA
"135","johnjcool","keycloak-cas-services","https://github.com/johnjcool/keycloak-cas-services.git","test","true","SatOct1919:05:042019+0200",104,1,9,7,"e0e64a67631952abeb5f4466efae07aac176859c","true","true","true",5,"true"
"136","jvermillard","leshan","https://github.com/jvermillard/leshan.git","test","true","ThuFeb1215:39:452015+0100",604,1,10,24,"0102b85786a1ea34cc023c82470e1dca0534d344","true","true","true",31,"true"
"137","jvermillard","leshan","https://github.com/jvermillard/leshan.git","test","true","ThuFeb1215:39:452015+0100",604,1,10,24,"0102b85786a1ea34cc023c82470e1dca0534d344","true","true","true",31,"true"
"138","kaazing","gateway","https://github.com/kaazing/gateway.client.ios.common.git","test","true","FriMay2914:38:112015-0700",38,1,3,9,"5a9b28e7fb714d68584f6456bcc1f65e4fe622f7","true","true","true",0,"true"
"139","kaazing","gateway","https://github.com/kaazing/gateway.client.java.internal.git","test","true","WedMay2015:14:332015-0700",103,1,10,13,"eef87ded0745a5be475b74f8ea69f50d3472605c","true","true","true",179,"true"
